model,seed,accuracy,f1_macro,precision_macro,recall_macro
text,1337,0.6981132075471698,0.6937399678972713,0.7060192883272365,0.6961063627730295
text,2026,0.6855345911949685,0.6818982074263764,0.6984777517564402,0.6877967711301045
text,42,0.7484276729559748,0.7461685823754789,0.7541544477028348,0.7469135802469136
image,1337,0.6729559748427673,0.6723208623969563,0.6759763124199744,0.6740265906932573
image,2026,0.5849056603773585,0.5844947735191637,0.5862535839439311,0.585707502374169
image,42,0.6415094339622641,0.6300363309793036,0.6681651376146789,0.6450617283950617
fusion,1337,0.6792452830188679,0.6791945246666931,0.6791930379746836,0.679249762583096
fusion,2026,0.7044025157232704,0.6949422378250398,0.7264150943396226,0.701329534662868
fusion,42,0.6729559748427673,0.6719047619047619,0.6772946859903382,0.674264007597341
