week,variant,seed,accuracy,f1_macro,precision_macro,recall_macro,best_epoch,best_val_f1_macro
4,late_fusion,1337,0.6792452830188679,0.6791945246666931,0.6791930379746836,0.679249762583096,,
4,late_fusion,2026,0.7044025157232704,0.6949422378250398,0.7264150943396226,0.701329534662868,,
4,late_fusion,42,0.6729559748427673,0.6719047619047619,0.6772946859903382,0.674264007597341,,
4,unimodal_image,1337,0.6729559748427673,0.6723208623969563,0.6759763124199744,0.6740265906932573,,
4,unimodal_image,2026,0.5849056603773585,0.5844947735191637,0.5862535839439311,0.585707502374169,,
4,unimodal_image,42,0.6415094339622641,0.6300363309793036,0.6681651376146789,0.6450617283950617,,
4,unimodal_text,1337,0.6981132075471698,0.6937399678972713,0.7060192883272365,0.6961063627730295,,
4,unimodal_text,2026,0.6855345911949685,0.6818982074263764,0.6984777517564402,0.6877967711301045,,
4,unimodal_text,42,0.7484276729559748,0.7461685823754789,0.7541544477028348,0.7469135802469136,,
5,attention_fusion,1337,0.7295597484276729,0.7252120091636188,0.7403813984610237,0.7274453941120608,7,0.7010827999838989
5,attention_fusion,2026,0.7169811320754716,0.713306887847097,0.7247023809523809,0.7150997150997151,8,0.7331081081081081
5,attention_fusion,42,0.6855345911949685,0.6852233132720937,0.6854787571337984,0.6851851851851851,8,0.7025197291992148
6,contrastive_then_attention,1337,0.6855345911949685,0.6809791332263242,0.6928001330229465,0.6835232668566001,7,0.7199033037872684
6,contrastive_then_attention,2026,0.6792452830188679,0.6750811395600433,0.6852678571428572,0.6773504273504274,7,0.6756430382804008
6,contrastive_then_attention,42,0.6918238993710691,0.6910417575445136,0.6957463884430176,0.6930199430199431,3,0.6810400516795866
